order_id,order_date,region,category,product,quantity,unit_price,discount_pct,revenue,cost,profit,customer_segment
ORD10155,2024-01-09,North,Sports,Yoga Mat,5,191.04,5,907.44,439.77,467.67,VIP
ORD11328,2024-01-10,West,Sports,Resistance Bands,2,72.34,5,137.45,68.62,68.83,Returning
ORD10083,2024-01-10,North,Books,Cookbook,5,42.28,0,211.4,118.34,93.06,Returning
ORD10862,2024-01-10,West,Home & Kitchen,Blender,5,22.14,10,99.63,57.31,42.32,Returning
ORD10186,2024-01-10,North,Books,Tech Manual,1,40.37,10,36.33,21.08,15.25,New
ORD11159,2024-01-10,East,Apparel,Cotton T-Shirt,4,48.07,0,192.28,91.94,100.34,Returning
ORD11006,2024-01-11,South,Apparel,Cotton T-Shirt,1,118.44,0,118.44,59.6,58.84,New
ORD11071,2024-01-11,East,Books,Biography,1,15.5,5,14.72,8.13,6.59,Returning
ORD10387,2024-01-11,North,Sports,Cycling Helmet,1,56.14,0,56.14,25.91,30.23,New
ORD10614,2024-01-11,North,Sports,Cycling Helmet,4,70.68,10,254.45,180.61,73.84,Returning
ORD10844,2024-01-11,East,Books,Biography,3,16.91,0,50.73,25.97,24.76,Returning
ORD10754,2024-01-11,South,Apparel,Wool Sweater,1,105.86,0,105.86,53.3,52.56,New
ORD11100,2024-01-11,West,Books,Biography,3,8.72,0,26.16,13.78,12.38,VIP
ORD10324,2024-01-12,North,Books,Fiction Novel,2,35.93,0,71.86,36.65,35.21,New
ORD10057,2024-01-12,North,Electronics,4K Monitor,3,672.69,15,1715.36,931.49,783.87,VIP
ORD10195,2024-01-12,East,Electronics,Smartwatch,1,222.51,10,200.26,129.72,70.54,New
ORD11263,2024-01-13,West,Sports,Cycling Helmet,2,124.83,0,249.66,139.7,109.96,Returning
ORD11860,2024-01-13,South,Electronics,Bluetooth Speaker,5,703.63,0,3518.15,1988.16,1529.99,New
ORD11585,2024-01-14,South,Electronics,Smartwatch,4,485.47,0,1941.88,882.44,1059.44,Returning
ORD10164,2024-01-14,North,Books,Tech Manual,4,22.49,0,89.96,46.95,43.01,Returning
ORD11193,2024-01-14,North,Apparel,Running Shoes,5,61.82,15,262.74,197.62,65.12,VIP
ORD10075,2024-01-15,East,Apparel,Wool Sweater,2,21.79,0,43.58,26.04,17.54,New
ORD10011,2024-01-15,East,Electronics,4K Monitor,3,570.96,0,1712.88,921.3,791.58,New
ORD11791,2024-01-16,North,Sports,Dumbbell Set,4,141.35,10,508.86,263.85,245.01,Returning
ORD10612,2024-01-16,East,Home & Kitchen,Vacuum Cleaner,2,110.64,0,221.28,132.6,88.68,New
ORD10777,2024-01-16,North,Electronics,Bluetooth Speaker,4,702.91,0,2811.64,1775.69,1035.95,Returning
ORD10523,2024-01-16,North,Sports,Cycling Helmet,5,26.48,0,132.4,82.83,49.57,Returning
ORD11763,2024-01-17,South,Sports,Yoga Mat,4,151.63,5,576.19,377.12,199.07,Returning
ORD11992,2024-01-17,North,Apparel,Denim Jacket,4,109.09,0,436.36,264.89,171.47,Returning
ORD10910,2024-01-17,West,Electronics,Smartwatch,3,825.88,0,2477.64,1554.16,923.48,Returning
ORD11597,2024-01-17,East,Home & Kitchen,Coffee Maker,2,171.42,0,342.84,195.92,146.92,New
ORD10941,2024-01-17,North,Electronics,Laptop Stand,2,461.99,0,923.98,520.05,403.93,Returning
ORD10321,2024-01-17,North,Sports,Dumbbell Set,3,20.81,0,62.43,31.42,31.01,VIP
ORD11858,2024-01-17,North,Home & Kitchen,Vacuum Cleaner,1,196.33,0,196.33,124.47,71.86,VIP
ORD10118,2024-01-17,East,Apparel,Sneakers,3,20.07,20,48.17,32.47,15.7,VIP
ORD10932,2024-01-18,West,Books,Biography,4,20.25,0,81.0,36.79,44.21,New
ORD11730,2024-01-18,South,Electronics,Smartwatch,4,860.92,0,3443.68,1583.93,1859.75,VIP
ORD10565,2024-01-18,North,Home & Kitchen,Coffee Maker,1,83.14,0,83.14,49.7,33.44,Returning
ORD11649,2024-01-18,South,Electronics,Smartwatch,2,344.25,0,688.5,333.99,354.51,New
ORD10989,2024-01-19,South,Electronics,Smartwatch,1,401.67,0,401.67,227.97,173.7,New
ORD10276,2024-01-19,East,Apparel,Cotton T-Shirt,5,24.46,0,122.3,77.24,45.06,New
ORD10361,2024-01-19,East,Books,Cookbook,2,19.23,0,38.46,17.86,20.6,Returning
ORD10515,2024-01-19,West,Home & Kitchen,Vacuum Cleaner,4,110.65,0,442.6,250.57,192.03,Returning
ORD11122,2024-01-20,North,Electronics,4K Monitor,4,190.7,0,762.8,360.1,402.7,Returning
ORD10501,2024-01-20,West,Apparel,Denim Jacket,5,42.79,0,213.95,131.9,82.05,Returning
ORD10169,2024-01-20,East,Sports,Dumbbell Set,1,197.54,0,197.54,114.18,83.36,New
ORD11036,2024-01-20,South,Home & Kitchen,Blender,4,183.28,0,733.12,474.65,258.47,VIP
ORD10230,2024-01-20,East,Books,Self-Help Book,4,29.78,0,119.12,74.43,44.69,New
ORD10724,2024-01-21,South,Electronics,Bluetooth Speaker,4,558.08,0,2232.32,1173.02,1059.3,VIP
ORD11127,2024-01-21,West,Apparel,Wool Sweater,2,17.98,0,35.96,23.3,12.66,New
ORD10733,2024-01-21,North,Sports,Football,4,47.08,5,178.9,122.24,56.66,Returning
ORD11626,2024-01-21,South,Books,Biography,4,24.57,10,88.45,44.89,43.56,New
ORD11061,2024-01-21,West,Sports,Football,1,40.91,0,40.91,21.4,19.51,VIP
ORD10003,2024-01-21,North,Apparel,Wool Sweater,1,66.57,0,66.57,30.13,36.44,Returning
ORD10380,2024-01-21,East,Electronics,4K Monitor,5,270.35,10,1216.58,803.09,413.49,Returning
ORD10142,2024-01-22,West,Electronics,Laptop Stand,2,200.51,0,401.02,184.13,216.89,Returning
ORD11241,2024-01-23,West,Electronics,Bluetooth Speaker,2,296.75,0,593.5,272.06,321.44,Returning
ORD11542,2024-01-23,East,Books,Tech Manual,5,13.54,15,57.54,35.89,21.65,Returning
ORD10882,2024-01-23,North,Apparel,Running Shoes,3,108.45,0,325.35,179.23,146.12,Returning
ORD11868,2024-01-23,North,Sports,Football,3,119.6,10,322.92,173.38,149.54,VIP
ORD11322,2024-01-23,East,Sports,Resistance Bands,2,182.41,0,364.82,233.69,131.13,Returning
ORD10998,2024-01-24,South,Electronics,4K Monitor,3,502.85,0,1508.55,749.27,759.28,New
ORD10539,2024-01-25,North,Sports,Cycling Helmet,2,123.8,5,235.22,156.63,78.59,Returning
ORD11971,2024-01-25,South,Sports,Cycling Helmet,2,28.81,0,57.62,30.91,26.71,New
ORD11116,2024-01-25,North,Books,Self-Help Book,3,25.53,0,76.59,37.44,39.15,New
ORD11005,2024-01-26,North,Electronics,Bluetooth Speaker,4,433.71,0,1734.84,825.9,908.94,New
ORD11089,2024-01-27,North,Sports,Yoga Mat,2,162.24,10,292.03,172.29,119.74,Returning
ORD11254,2024-01-27,South,Electronics,Laptop Stand,5,795.96,5,3780.81,2134.98,1645.83,VIP
ORD10148,2024-01-27,East,Sports,Yoga Mat,5,175.7,0,878.5,529.04,349.46,Returning
ORD10013,2024-01-28,North,Books,Cookbook,4,32.79,15,111.49,69.95,41.54,New
ORD11396,2024-01-29,North,Books,Biography,4,39.59,0,158.36,100.63,57.73,Returning
ORD11943,2024-01-30,East,Sports,Yoga Mat,2,126.61,10,227.9,117.18,110.72,Returning
ORD11353,2024-01-30,South,Sports,Cycling Helmet,1,82.18,0,82.18,46.79,35.39,Returning
ORD11255,2024-01-30,South,Home & Kitchen,Blender,4,153.99,5,585.16,369.38,215.78,New
ORD10850,2024-01-30,South,Home & Kitchen,Blender,2,193.04,0,386.08,211.3,174.78,New
ORD11472,2024-01-31,North,Electronics,Bluetooth Speaker,2,229.18,10,412.52,238.35,174.17,VIP
ORD11375,2024-01-31,North,Books,Fiction Novel,5,21.13,0,105.65,59.59,46.06,New
ORD11511,2024-01-31,West,Books,Cookbook,2,35.34,0,70.68,33.14,37.54,New
ORD10933,2024-01-31,North,Electronics,Bluetooth Speaker,1,227.55,0,227.55,113.93,113.62,Returning
ORD11373,2024-02-01,South,Apparel,Wool Sweater,4,84.39,10,303.8,215.97,87.83,New
ORD11389,2024-02-01,South,Books,Tech Manual,4,29.55,0,118.2,65.12,53.08,Returning
ORD10247,2024-02-01,North,Sports,Cycling Helmet,3,99.96,10,269.89,144.82,125.07,New
ORD11366,2024-02-01,West,Electronics,Bluetooth Speaker,2,444.92,0,889.84,493.4,396.44,New
ORD11513,2024-02-01,North,Apparel,Sneakers,1,37.77,15,32.1,22.67,9.43,Returning
ORD11947,2024-02-02,East,Sports,Football,1,62.84,0,62.84,34.6,28.24,VIP
ORD10909,2024-02-02,West,Electronics,4K Monitor,5,795.78,0,3978.9,2308.24,1670.66,Returning
ORD10025,2024-02-02,East,Electronics,4K Monitor,3,284.12,5,809.74,470.3,339.44,Returning
ORD10077,2024-02-03,East,Apparel,Running Shoes,4,64.83,0,259.32,147.11,112.21,Returning
ORD11102,2024-02-04,North,Sports,Cycling Helmet,2,142.64,5,271.02,136.32,134.7,Returning
ORD10960,2024-02-04,North,Apparel,Wool Sweater,5,91.85,5,436.29,271.97,164.32,Returning
ORD10538,2024-02-04,North,Apparel,Denim Jacket,4,88.59,0,354.36,173.37,180.99,VIP
ORD11151,2024-02-04,East,Home & Kitchen,Cookware Set,2,136.81,5,259.94,155.41,104.53,Returning
ORD10043,2024-02-04,West,Sports,Resistance Bands,2,27.83,0,55.66,32.35,23.31,New
ORD11948,2024-02-04,East,Apparel,Denim Jacket,1,52.67,5,50.04,24.89,25.15,New
ORD11443,2024-02-05,North,Apparel,Denim Jacket,5,104.85,0,524.25,272.63,251.62,New
ORD10191,2024-02-05,South,Apparel,Wool Sweater,2,89.68,15,152.46,112.79,39.67,New
ORD11153,2024-02-05,North,Home & Kitchen,Blender,5,207.97,0,1039.85,476.1,563.75,New
ORD10728,2024-02-06,North,Apparel,Running Shoes,4,45.37,0,181.48,105.58,75.9,Returning
ORD11360,2024-02-06,East,Electronics,Smartwatch,3,776.1,10,2095.47,1275.31,820.16,Returning
ORD11355,2024-02-07,West,Home & Kitchen,Coffee Maker,3,118.64,0,355.92,230.02,125.9,New
ORD10969,2024-02-08,South,Apparel,Running Shoes,5,97.33,5,462.32,246.57,215.75,Returning
ORD11869,2024-02-08,East,Sports,Dumbbell Set,1,91.91,15,78.12,53.13,24.99,Returning
ORD10049,2024-02-08,East,Sports,Cycling Helmet,5,54.35,10,244.58,149.16,95.42,New
ORD11697,2024-02-08,South,Electronics,4K Monitor,1,889.8,20,711.84,492.55,219.29,Returning
ORD11214,2024-02-08,East,Home & Kitchen,Blender,2,164.13,5,311.85,164.16,147.69,Returning
ORD11627,2024-02-09,South,Apparel,Denim Jacket,2,102.96,0,205.92,133.78,72.14,VIP
ORD11894,2024-02-09,North,Apparel,Running Shoes,2,19.3,0,38.6,21.72,16.88,New
ORD10654,2024-02-09,North,Books,Biography,2,26.26,0,52.52,29.61,22.91,New
ORD10372,2024-02-10,East,Home & Kitchen,Blender,1,155.57,0,155.57,92.22,63.35,New
ORD11980,2024-02-10,East,Apparel,Denim Jacket,1,119.65,10,107.68,77.34,30.34,New
ORD10673,2024-02-11,North,Sports,Football,5,147.39,5,700.1,350.21,349.89,New
ORD11666,2024-02-11,West,Books,Fiction Novel,3,41.69,0,125.07,65.31,59.76,Returning
ORD11503,2024-02-11,North,Sports,Yoga Mat,3,66.31,0,198.93,110.62,88.31,New
ORD10739,2024-02-11,North,Books,Self-Help Book,2,25.87,0,51.74,26.77,24.97,New
ORD11936,2024-02-11,East,Home & Kitchen,Cookware Set,2,248.89,5,472.89,292.62,180.27,New
ORD11076,2024-02-11,North,Home & Kitchen,Blender,4,202.8,0,811.2,447.4,363.8,VIP
ORD10356,2024-02-12,South,Home & Kitchen,Cookware Set,4,200.83,0,803.32,363.33,439.99,Returning
ORD11942,2024-02-12,South,Home & Kitchen,Air Fryer,1,74.26,5,70.55,38.09,32.46,Returning
ORD10500,2024-02-12,East,Electronics,Laptop Stand,5,482.28,10,2170.26,1145.68,1024.58,New
ORD11043,2024-02-12,West,Sports,Yoga Mat,4,196.68,0,786.72,446.98,339.74,New
ORD10828,2024-02-12,East,Electronics,4K Monitor,2,683.17,0,1366.34,616.79,749.55,New
ORD10769,2024-02-13,North,Books,Cookbook,4,14.22,0,56.88,35.64,21.24,Returning
ORD11862,2024-02-13,West,Sports,Yoga Mat,4,53.46,0,213.84,122.33,91.51,Returning
ORD11605,2024-02-13,West,Books,Self-Help Book,2,28.05,10,50.49,31.93,18.56,Returning
ORD11296,2024-02-13,West,Sports,Dumbbell Set,5,183.39,0,916.95,589.05,327.9,New
ORD11759,2024-02-13,South,Electronics,4K Monitor,2,641.94,0,1283.88,814.1,469.78,VIP
ORD11224,2024-02-14,East,Apparel,Cotton T-Shirt,5,39.82,5,189.14,122.37,66.77,VIP
ORD10385,2024-02-14,North,Books,Tech Manual,4,33.88,0,135.52,61.04,74.48,New
ORD11941,2024-02-14,North,Electronics,4K Monitor,4,738.55,0,2954.2,1529.53,1424.67,New
ORD11442,2024-02-14,North,Books,Biography,5,30.1,0,150.5,75.08,75.42,New
ORD11057,2024-02-15,West,Books,Cookbook,1,29.32,0,29.32,13.27,16.05,Returning
ORD11341,2024-02-15,East,Books,Tech Manual,5,17.69,0,88.45,49.6,38.85,VIP
ORD10589,2024-02-15,West,Home & Kitchen,Blender,4,246.73,15,838.88,603.03,235.85,Returning
ORD10139,2024-02-15,North,Home & Kitchen,Vacuum Cleaner,2,136.72,0,273.44,153.66,119.78,New
ORD11261,2024-02-15,North,Sports,Resistance Bands,3,65.24,20,156.58,99.31,57.27,VIP
ORD11096,2024-02-16,West,Books,Tech Manual,1,17.43,10,15.69,9.78,5.91,Returning
ORD10760,2024-02-16,North,Books,Tech Manual,1,26.2,5,24.89,15.08,9.81,Returning
ORD11756,2024-02-17,North,Electronics,Bluetooth Speaker,5,292.5,5,1389.38,766.97,622.41,New
ORD11970,2024-02-17,South,Apparel,Cotton T-Shirt,4,43.11,0,172.44,82.77,89.67,Returning
ORD11617,2024-02-17,North,Electronics,Wireless Earbuds,3,314.39,5,896.01,586.53,309.48,Returning
ORD10412,2024-02-17,East,Apparel,Denim Jacket,3,87.81,0,263.43,167.45,95.98,Returning
ORD11920,2024-02-17,North,Sports,Cycling Helmet,3,64.53,0,193.59,121.03,72.56,VIP
ORD11892,2024-02-18,East,Books,Tech Manual,5,17.92,0,89.6,50.29,39.31,Returning
ORD10273,2024-02-18,West,Books,Tech Manual,3,24.28,0,72.84,35.97,36.87,New
ORD11842,2024-02-19,East,Apparel,Cotton T-Shirt,4,26.66,0,106.64,64.86,41.78,New
ORD11301,2024-02-19,North,Home & Kitchen,Blender,2,37.65,0,75.3,40.89,34.41,Returning
ORD11900,2024-02-19,North,Books,Fiction Novel,1,30.03,0,30.03,18.05,11.98,VIP
ORD11439,2024-02-20,East,Home & Kitchen,Vacuum Cleaner,3,67.92,5,193.57,119.17,74.4,New
ORD10063,2024-02-20,East,Apparel,Running Shoes,1,36.52,0,36.52,17.95,18.57,New
ORD11404,2024-02-20,South,Home & Kitchen,Air Fryer,3,138.98,0,416.94,224.94,192.0,Returning
ORD11656,2024-02-21,East,Books,Fiction Novel,3,31.18,0,93.54,48.57,44.97,Returning
ORD11021,2024-02-21,West,Home & Kitchen,Cookware Set,5,197.57,5,938.46,574.17,364.29,VIP
ORD10836,2024-02-21,East,Apparel,Sneakers,5,14.01,0,70.05,41.89,28.16,New
ORD11762,2024-02-21,South,Apparel,Cotton T-Shirt,5,60.46,0,302.3,188.54,113.76,VIP
ORD10814,2024-02-22,North,Electronics,4K Monitor,2,367.44,0,734.88,468.14,266.74,New
ORD10309,2024-02-22,East,Sports,Football,2,141.28,5,268.43,158.37,110.06,Returning
ORD11783,2024-02-23,East,Home & Kitchen,Coffee Maker,3,233.11,15,594.43,410.87,183.56,Returning
ORD11377,2024-02-24,North,Home & Kitchen,Cookware Set,4,168.43,5,640.03,319.55,320.48,Returning
ORD11853,2024-02-24,South,Home & Kitchen,Cookware Set,3,107.2,0,321.6,191.32,130.28,VIP
ORD10114,2024-02-24,West,Apparel,Wool Sweater,3,89.1,15,227.2,170.37,56.83,Returning
ORD10451,2024-02-25,West,Books,Tech Manual,5,8.95,0,44.75,25.37,19.38,New
ORD10580,2024-02-25,East,Books,Biography,2,10.29,20,16.46,11.43,5.03,Returning
ORD11447,2024-02-25,South,Home & Kitchen,Blender,3,72.08,20,172.99,124.63,48.36,Returning
ORD11314,2024-02-26,West,Sports,Cycling Helmet,2,100.16,10,180.29,118.46,61.83,New
ORD10633,2024-02-26,South,Sports,Yoga Mat,5,192.39,0,961.95,510.79,451.16,New
ORD10604,2024-02-26,East,Apparel,Denim Jacket,5,84.0,0,420.0,229.61,190.39,New
ORD11084,2024-02-26,South,Home & Kitchen,Vacuum Cleaner,5,132.21,10,594.95,421.3,173.65,New
ORD10442,2024-02-27,North,Books,Cookbook,2,25.25,15,42.92,29.57,13.35,Returning
ORD10552,2024-02-28,West,Books,Cookbook,4,37.48,0,149.92,97.05,52.87,Returning
ORD10731,2024-02-28,South,Sports,Football,2,90.94,0,181.88,98.81,83.07,Returning
ORD11190,2024-02-28,East,Home & Kitchen,Vacuum Cleaner,2,89.86,0,179.72,83.05,96.67,VIP
ORD10456,2024-02-29,West,Books,Tech Manual,1,20.38,0,20.38,12.98,7.4,New
ORD10805,2024-02-29,South,Sports,Yoga Mat,2,47.48,20,75.97,54.09,21.88,New
ORD10423,2024-02-29,North,Sports,Cycling Helmet,5,75.36,0,376.8,197.11,179.69,Returning
ORD11744,2024-02-29,South,Apparel,Denim Jacket,5,51.93,10,233.68,124.16,109.52,Returning
ORD11629,2024-02-29,North,Apparel,Sneakers,3,21.49,0,64.47,38.28,26.19,Returning
ORD10953,2024-03-01,East,Apparel,Wool Sweater,5,63.11,10,284.0,194.92,89.08,Returning
ORD10889,2024-03-01,South,Apparel,Running Shoes,4,20.34,20,65.09,52.82,12.27,New
ORD10627,2024-03-02,North,Home & Kitchen,Vacuum Cleaner,5,217.31,0,1086.55,644.41,442.14,Returning
ORD11147,2024-03-02,West,Apparel,Cotton T-Shirt,1,118.1,5,112.2,70.21,41.99,VIP
ORD11086,2024-03-02,East,Home & Kitchen,Vacuum Cleaner,3,204.64,0,613.92,355.32,258.6,New
ORD10692,2024-03-02,North,Apparel,Denim Jacket,1,51.61,0,51.61,28.54,23.07,New
ORD11818,2024-03-02,North,Home & Kitchen,Cookware Set,4,80.78,10,290.81,208.19,82.62,New
ORD11180,2024-03-03,East,Books,Cookbook,2,31.94,0,63.88,31.5,32.38,Returning
ORD10378,2024-03-03,South,Home & Kitchen,Cookware Set,4,53.21,0,212.84,114.67,98.17,New
ORD11821,2024-03-03,West,Apparel,Denim Jacket,1,96.33,20,77.06,58.95,18.11,New
ORD10830,2024-03-04,East,Sports,Yoga Mat,4,172.33,0,689.32,367.18,322.14,New
ORD11754,2024-03-05,West,Home & Kitchen,Cookware Set,1,22.76,0,22.76,12.72,10.04,Returning
ORD10808,2024-03-05,South,Home & Kitchen,Coffee Maker,1,51.81,0,51.81,26.16,25.65,Returning
ORD11574,2024-03-05,South,Apparel,Cotton T-Shirt,4,50.02,10,180.07,129.89,50.18,Returning
ORD11718,2024-03-05,North,Sports,Resistance Bands,4,196.95,5,748.41,448.02,300.39,VIP
ORD10008,2024-03-05,West,Sports,Football,5,66.06,10,297.27,176.6,120.67,New
ORD10533,2024-03-05,West,Sports,Resistance Bands,5,95.3,20,381.2,243.28,137.92,New
ORD11221,2024-03-05,East,Apparel,Cotton T-Shirt,5,97.95,0,489.75,256.14,233.61,New
ORD11725,2024-03-06,South,Electronics,Bluetooth Speaker,4,878.47,0,3513.88,2027.48,1486.4,Returning
ORD11715,2024-03-06,West,Apparel,Sneakers,2,67.55,10,121.59,73.08,48.51,Returning
ORD11484,2024-03-06,East,Sports,Football,2,76.36,0,152.72,84.33,68.39,New
ORD10522,2024-03-07,North,Apparel,Wool Sweater,5,53.76,20,215.04,166.07,48.97,New
ORD11417,2024-03-07,East,Books,Self-Help Book,2,33.06,20,52.9,35.94,16.96,Returning
ORD11091,2024-03-08,East,Electronics,Smartwatch,2,522.87,10,941.17,496.96,444.21,New
ORD11088,2024-03-08,South,Apparel,Denim Jacket,4,88.08,0,352.32,195.24,157.08,Returning
ORD11798,2024-03-08,East,Books,Cookbook,4,40.61,0,162.44,94.89,67.55,New
ORD11952,2024-03-08,North,Home & Kitchen,Air Fryer,5,233.02,5,1106.84,605.84,501.0,New
ORD10266,2024-03-08,West,Books,Cookbook,1,14.05,0,14.05,8.79,5.26,VIP
ORD11014,2024-03-08,North,Books,Tech Manual,1,39.7,20,31.76,18.97,12.79,New
ORD10527,2024-03-08,East,Apparel,Running Shoes,4,55.7,0,222.8,104.65,118.15,New
ORD10468,2024-03-09,North,Electronics,Wireless Earbuds,3,285.89,10,771.9,479.69,292.21,New
ORD11323,2024-03-09,West,Books,Cookbook,4,26.47,0,105.88,68.6,37.28,Returning
ORD10734,2024-03-09,East,Books,Biography,2,41.93,5,79.67,45.94,33.73,New
ORD10068,2024-03-09,West,Sports,Dumbbell Set,2,186.42,10,335.56,204.51,131.05,VIP
ORD11410,2024-03-10,West,Books,Cookbook,4,11.42,5,43.4,29.15,14.25,VIP
ORD10241,2024-03-10,West,Electronics,4K Monitor,1,549.32,10,494.39,249.59,244.8,VIP
ORD10792,2024-03-11,South,Books,Biography,1,33.98,10,30.58,18.27,12.31,New
ORD11176,2024-03-11,North,Apparel,Running Shoes,1,65.42,20,52.34,41.86,10.48,Returning
ORD11119,2024-03-11,North,Apparel,Cotton T-Shirt,1,118.51,5,112.58,74.96,37.62,VIP
ORD11523,2024-03-11,East,Apparel,Wool Sweater,1,38.46,0,38.46,22.02,16.44,Returning
ORD10438,2024-03-12,South,Electronics,Laptop Stand,1,693.45,5,658.78,408.53,250.25,VIP
ORD11218,2024-03-12,West,Books,Tech Manual,1,25.21,0,25.21,15.84,9.37,VIP
ORD10473,2024-03-12,South,Sports,Dumbbell Set,3,26.45,5,75.38,41.65,33.73,VIP
ORD11506,2024-03-12,South,Electronics,Wireless Earbuds,5,599.47,5,2847.48,1686.19,1161.29,New
ORD10684,2024-03-13,North,Books,Self-Help Book,4,23.22,0,92.88,48.14,44.74,New
ORD11385,2024-03-13,West,Electronics,Bluetooth Speaker,3,191.09,0,573.27,277.13,296.14,New
ORD10582,2024-03-14,South,Electronics,Laptop Stand,2,169.01,0,338.02,176.47,161.55,Returning
ORD11204,2024-03-14,South,Sports,Yoga Mat,4,196.04,0,784.16,400.33,383.83,New
ORD10110,2024-03-15,East,Sports,Dumbbell Set,5,112.25,5,533.19,312.02,221.17,Returning
ORD10414,2024-03-15,South,Apparel,Sneakers,2,84.23,0,168.46,92.67,75.79,New
ORD10551,2024-03-15,North,Apparel,Denim Jacket,2,36.79,0,73.58,35.13,38.45,VIP
ORD10097,2024-03-15,West,Books,Self-Help Book,4,18.34,0,73.36,39.84,33.52,VIP
ORD11175,2024-03-16,East,Apparel,Denim Jacket,2,54.96,5,104.42,67.39,37.03,Returning
ORD10467,2024-03-16,South,Apparel,Sneakers,3,118.94,20,285.46,209.67,75.79,Returning
ORD11199,2024-03-17,North,Books,Cookbook,3,6.02,20,14.45,11.39,3.06,Returning
ORD10965,2024-03-17,South,Apparel,Running Shoes,2,55.74,0,111.48,63.23,48.25,New
ORD10407,2024-03-17,West,Electronics,Bluetooth Speaker,5,535.65,0,2678.25,1657.77,1020.48,Returning
ORD10189,2024-03-17,East,Books,Cookbook,3,29.28,0,87.84,48.26,39.58,Returning
ORD11508,2024-03-17,South,Home & Kitchen,Cookware Set,5,195.72,0,978.6,472.79,505.81,New
ORD11012,2024-03-17,East,Home & Kitchen,Vacuum Cleaner,5,55.8,0,279.0,148.96,130.04,New
ORD11062,2024-03-18,West,Apparel,Wool Sweater,3,93.1,0,279.3,160.81,118.49,Returning
ORD10368,2024-03-19,East,Books,Biography,2,42.87,0,85.74,54.69,31.05,New
